القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),KDS,9.5/10,Kitchen Display System,نظام عرض المطبخ
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),BOH,9/10,Back of House,العمليات الخلفية للمطاعم
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),FOH,9/10,Front of House,الواجهة الأمامية للمطاعم
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),CPG,10/10,Consumer Packaged Goods,السلع الاستهلاكية المعبأة
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),HACCP,9.5/10,Hazard Analysis Critical Control Point,نظام تحليل المخاطر ونقاط التحكم الحرجة
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),FNB,10/10,Food and Beverage,الأغذية والمشروبات
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),CEA,9.5/10,Controlled Environment Agriculture,الزراعة في بيئة خاضعة للرقابة
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),VRT,8.5/10,Variable Rate Technology,تكنولوجيا المعدل المتغير (في الزراعة)
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),NDVI,8.5/10,Normalized Difference Vegetation Index,مؤشر الاختلاف الخضري (لتحليل المحاصيل)
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),GIS,10/10,Geographic Information System,نظام المعلومات الجغرافية
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),GMO,9/10,Genetically Modified Organism,كائن معدل وراثياً
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),FIFO,10/10,First In First Out,الوارد أولاً يصرف أولاً (إدارة المخزون)
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),COGS,9.5/10,Cost of Goods Sold,تكلفة البضائع المباعة
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),FAAS,9/10,Farming as a Service,الزراعة كخدمة
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),MRE,8.5/10,Meal Ready-to-Eat,وجبة جاهزة للأكل
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),RDI,8.5/10,Reference Daily Intake,الاستهلاك اليومي المرجعي
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),RTE,9.5/10,Ready-to-Eat,جاهز للأكل
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),RTD,9.5/10,Ready-to-Drink,جاهز للشرب
تكنولوجيا الغذاء والزراعة (FoodTech & AgriTech),EPOS,9.5/10,Electronic Point of Sale,نقطة البيع الإلكترونية
