القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
قطاع الأعمال وبرمجيات الشركات,PaaS,9/10,Platform as a Service,المنصة كخدمة
قطاع الأعمال وبرمجيات الشركات,IaaS,9/10,Infrastructure as a Service,البنية التحتية كخدمة
قطاع الأعمال وبرمجيات الشركات,ROI,10/10,Return on Investment,العائد على الاستثمار
قطاع الأعمال وبرمجيات الشركات,KPI,9.5/10,Key Performance Indicator,مؤشرات الأداء الرئيسية
قطاع الأعمال وبرمجيات الشركات,OKR,9/10,Objectives and Key Results,الأهداف والنتائج الرئيسية
قطاع الأعمال وبرمجيات الشركات,MVP,9.5/10,Minimum Viable Product,المنتج الأولي القابل للتطبيق
قطاع الأعمال وبرمجيات الشركات,POC,8.5/10,Proof of Concept,إثبات المفهوم
قطاع الأعمال وبرمجيات الشركات,HRIS,8/10,HR Information System,نظام معلومات الموارد البشرية
قطاع الأعمال وبرمجيات الشركات,ATS,9/10,Applicant Tracking System,نظام تتبع المتقدمين للوظائف
قطاع الأعمال وبرمجيات الشركات,SLA,8.5/10,Service Level Agreement,اتفاقية مستوى الخدمة
قطاع الأعمال وبرمجيات الشركات,NDA,9/10,Non-Disclosure Agreement,اتفاقية عدم الإفصاح
قطاع الأعمال وبرمجيات الشركات,TOS,8/10,Terms of Service,شروط الخدمة
قطاع الأعمال وبرمجيات الشركات,RND,9.5/10,Research and Development,البحث والتطوير
قطاع البلوك تشين والويب 3,NFT,10/10,Non-Fungible Token,الرموز غير القابلة للاستبدال
قطاع البلوك تشين والويب 3,DEF,10/10,Decentralized Finance,التمويل اللامركزي
قطاع البلوك تشين والويب 3,DEX,10/10,Decentralized Exchange,منصات التداول اللامركزية
قطاع البلوك تشين والويب 3,CEX,9/10,Centralized Exchange,منصات التداول المركزية
قطاع البلوك تشين والويب 3,DAO,10/10,Decentralized Autonomous Organization,المنظمات اللامركزية
قطاع البلوك تشين والويب 3,KYC,9.5/10,Know Your Customer,اعرف عميلك
قطاع البلوك تشين والويب 3,AML,9/10,Anti-Money Laundering,مكافحة غسيل الأموال
قطاع البلوك تشين والويب 3,OTC,9.5/10,Over-the-Counter,التداول خارج المنصات
قطاع البلوك تشين والويب 3,P2P,10/10,Peer-to-Peer,من شخص لشخص
قطاع البلوك تشين والويب 3,TVL,8.5/10,Total Value Locked,إجمالي القيمة المقفلة
قطاع البلوك تشين والويب 3,APY,9/10,Annual Percentage Yield,العائد المئوي السنوي
قطاع البلوك تشين والويب 3,APR,9/10,Annual Percentage Rate,معدل النسبة السنوية
قطاع البلوك تشين والويب 3,ICO,8.5/10,Initial Coin Offering,طرح العملات الأولي
قطاع البلوك تشين والويب 3,IEO,8/10,Initial Exchange Offering,طرح المنصات الأولي
قطاع البلوك تشين والويب 3,STO,8/10,Security Token Offering,طرح الرموز الأمنية
قطاع البلوك تشين والويب 3,POW,9/10,Proof of Work,إثبات العمل
قطاع البلوك تشين والويب 3,POS,9/10,Proof of Stake,إثبات الحصة
قطاع البلوك تشين والويب 3,DAP,9.5/10,Decentralized Application,التطبيقات اللامركزية
قطاع البلوك تشين والويب 3,FUD,8/10,Fear Uncertainty Doubt,الخوف وعدم اليقين والشك
قطاع البلوك تشين والويب 3,MNT,9/10,Minting,صك العملات أو الرموز
قطاع التسويق والإعلام والإعلانات,SEO,10/10,Search Engine Optimization,تحسين محركات البحث
قطاع التسويق والإعلام والإعلانات,SEM,9.5/10,Search Engine Marketing,التسويق عبر محركات البحث
قطاع التسويق والإعلام والإعلانات,PPC,10/10,Pay-Per-Click,الدفع مقابل النقرة
قطاع التسويق والإعلام والإعلانات,CPA,9/10,Cost-Per-Action,التكلفة مقابل الإجراء
قطاع التسويق والإعلام والإعلانات,CPC,9/10,Cost-Per-Click,التكلفة مقابل النقرة
قطاع التسويق والإعلام والإعلانات,CPM,8.5/10,Cost-Per-Mille,التكلفة لكل ألف ظهور
قطاع التسويق والإعلام والإعلانات,CTR,9/10,Click-Through Rate,نسبة النقر إلى الظهور
قطاع التسويق والإعلام والإعلانات,LTV,9.5/10,Life-Time Value,القيمة الدائمة للعميل
قطاع التسويق والإعلام والإعلانات,CAC,9/10,Customer Acquisition Cost,تكلفة الاستحواذ على العميل
قطاع التسويق والإعلام والإعلانات,UGC,10/10,User-Generated Content,المحتوى الذي ينشئه المستخدم
قطاع التسويق والإعلام والإعلانات,VOD,9.5/10,Video on Demand,الفيديو حسب الطلب
قطاع التسويق والإعلام والإعلانات,OTT,9.5/10,Over-the-Top,خدمات البث عبر الإنترنت
قطاع التسويق والإعلام والإعلانات,CTA,9/10,Call to Action,دعوة لاتخاذ إجراء
قطاع التسويق والإعلام والإعلانات,CRO,9.5/10,Conversion Rate Optimization,تحسين معدل التحويل
قطاع التسويق والإعلام والإعلانات,CVR,8.5/10,Conversion Rate,معدل التحويل
قطاع التسويق والإعلام والإعلانات,ESP,8/10,Email Service Provider,مزود خدمة البريد الإلكتروني
قطاع التسويق والإعلام والإعلانات,DSP,8.5/10,Demand-Side Platform,منصات شراء الإعلانات
قطاع التسويق والإعلام والإعلانات,SSP,8.5/10,Supply-Side Platform,منصات بيع الإعلانات
قطاع التسويق والإعلام والإعلانات,ROA,9/10,Return on Ad Spend,العائد على الإنفاق الإعلاني
قطاع التسويق والإعلام والإعلانات,PRM,8.5/10,Public Relations Management,إدارة العلاقات العامة
قطاع الصحة والتكنولوجيا الحيوية,DNA,10/10,Deoxyribonucleic Acid,الحمض النووي
قطاع الصحة والتكنولوجيا الحيوية,RNA,9.5/10,Ribonucleic Acid,الحمض النووي الريبوزي
قطاع الصحة والتكنولوجيا الحيوية,EHR,10/10,Electronic Health Record,السجل الصحي الإلكتروني
قطاع الصحة والتكنولوجيا الحيوية,EMR,9.5/10,Electronic Medical Record,السجل الطبي الإلكتروني
قطاع الصحة والتكنولوجيا الحيوية,FDA,9/10,Food and Drug Administration,هيئة الغذاء والدواء
قطاع الصحة والتكنولوجيا الحيوية,MRI,9/10,Magnetic Resonance Imaging,الرنين المغناطيسي
قطاع الصحة والتكنولوجيا الحيوية,ECG,8.5/10,Electrocardiogram,رسم القلب
قطاع الصحة والتكنولوجيا الحيوية,ICU,9/10,Intensive Care Unit,العناية المركزة
قطاع الصحة والتكنولوجيا الحيوية,IVF,10/10,In Vitro Fertilization,أطفال الأنابيب
قطاع الصحة والتكنولوجيا الحيوية,OTC,9/10,Over-the-Counter,أدوية بدون وصفة طبية
قطاع الصحة والتكنولوجيا الحيوية,HMO,8.5/10,Health Maintenance Organization,منظمات التأمين الصحي
قطاع الصحة والتكنولوجيا الحيوية,PPO,8.5/10,Preferred Provider Organization,منظمات مزودي الخدمة
قطاع الصحة والتكنولوجيا الحيوية,BMI,9.5/10,Body Mass Index,مؤشر كتلة الجسم
قطاع الصحة والتكنولوجيا الحيوية,CPR,9/10,Cardiopulmonary Resuscitation,الإنعاش القلبي الرئوي
قطاع الصحة والتكنولوجيا الحيوية,EEG,8/10,Electroencephalogram,تخطيط الدماغ
قطاع الصحة والتكنولوجيا الحيوية,PPE,8.5/10,Personal Protective Equipment,معدات الوقاية الشخصية
قطاع الصحة والتكنولوجيا الحيوية,MED,10/10,Medical,طبي
قطاع الصحة والتكنولوجيا الحيوية,VET,9.5/10,Veterinary,بيطري
قطاع الصحة والتكنولوجيا الحيوية,LAB,10/10,Laboratory,مختبر
قطاع الصحة والتكنولوجيا الحيوية,BIO,10/10,Biology / Biotech,تكنولوجيا حيوية
