ï»¿Domain,Prefix / Keyword,Target Sector,Market Scale,Category
rail.tech,rail,Railway,Billions,Industry Crossover (Category Defining)
air.tech,air,Aviation,Billions,Industry Crossover (Category Defining)
fleet.tech,fleet,Fleet Management,Billions,Industry Crossover (Category Defining)
cargo.tech,cargo,Cargo Handling,Billions,Industry Crossover (Category Defining)
drone.tech,drone,UAVs / Drones,Billions,Industry Crossover (Category Defining)
retail.tech,retail,Retail,Trillions,Industry Crossover (Category Defining)
ecom.tech,ecom,E-commerce,Trillions,Industry Crossover (Category Defining)
shop.tech,shop,Shopping,Trillions,Industry Crossover (Category Defining)
ad.tech,ad,Advertising,Billions,Industry Crossover (Category Defining)
mar.tech,mar,Marketing,Billions,Industry Crossover (Category Defining)
sales.tech,sales,Sales Operations,Billions,Industry Crossover (Category Defining)
hr.tech,hr,Human Resources,Billions,Industry Crossover (Category Defining)
work.tech,work,Future of Work,Billions,Industry Crossover (Category Defining)
team.tech,team,Team Collaboration,Billions,Industry Crossover (Category Defining)
brand.tech,brand,Branding,Billions,Industry Crossover (Category Defining)
promo.tech,promo,Promotions,Millions,Industry Crossover (Category Defining)
ed.tech,ed,Education,Trillions,Industry Crossover (Category Defining)
edu.tech,edu,Education,Trillions,Industry Crossover (Category Defining)
learn.tech,learn,Learning Systems,Billions,Industry Crossover (Category Defining)
sport.tech,sport,Sports,Billions,Industry Crossover (Category Defining)
travel.tech,travel,Travel & Tourism,Trillions,Industry Crossover (Category Defining)
tour.tech,tour,Tourism,Billions,Industry Crossover (Category Defining)
event.tech,event,Event Management,Billions,Industry Crossover (Category Defining)
hosp.tech,hosp,Hospitality,Billions,Industry Crossover (Category Defining)
art.tech,art,Art & Design,Billions,Industry Crossover (Category Defining)
music.tech,music,Music Industry,Billions,Industry Crossover (Category Defining)
sound.tech,sound,Audio Engineering,Billions,Industry Crossover (Category Defining)
game.tech,game,Gaming,Trillions,Industry Crossover (Category Defining)
play.tech,play,Gaming / Toys,Billions,Industry Crossover (Category Defining)
fashion.tech,fashion,Fashion,Trillions,Industry Crossover (Category Defining)
style.tech,style,Styling,Billions,Industry Crossover (Category Defining)
beauty.tech,beauty,Beauty & Cosmetics,Billions,Industry Crossover (Category Defining)
cyber.tech,cyber,Cybersecurity,Trillions,Industry Crossover (Category Defining)
sec.tech,sec,Security,Trillions,Industry Crossover (Category Defining)
priv.tech,priv,Privacy,Billions,Industry Crossover (Category Defining)
id.tech,id,Identity Verification,Billions,Industry Crossover (Category Defining)
auth.tech,auth,Authentication,Billions,Industry Crossover (Category Defining)
data.tech,data,Data Analytics,Trillions,Industry Crossover (Category Defining)
cloud.tech,cloud,Cloud Computing,Trillions,Industry Crossover (Category Defining)
edge.tech,edge,Edge Computing,Billions,Industry Crossover (Category Defining)
fog.tech,fog,Fog Computing,Billions,Industry Crossover (Category Defining)
ai.tech,ai,Artificial Intelligence,Trillions,Industry Crossover (Category Defining)
ml.tech,ml,Machine Learning,Billions,Industry Crossover (Category Defining)
bot.tech,bot,Robotics / Automation,Billions,Industry Crossover (Category Defining)
robo.tech,robo,Robotics,Trillions,Industry Crossover (Category Defining)
xr.tech,xr,Extended Reality,Billions,Industry Crossover (Category Defining)
vr.tech,vr,Virtual Reality,Billions,Industry Crossover (Category Defining)
ar.tech,ar,Augmented Reality,Billions,Industry Crossover (Category Defining)
meta.tech,meta,Metaverse,Billions,Industry Crossover (Category Defining)
quantum.tech,quantum,Quantum Computing,Billions,Industry Crossover (Category Defining)
nano.tech,nano,Nanotechnology,Billions,Industry Crossover (Category Defining)
optic.tech,optic,Optics / Photonics,Billions,Industry Crossover (Category Defining)
haptic.tech,haptic,Haptics / Touch,Billions,Industry Crossover (Category Defining)
spatial.tech,spatial,Spatial Computing,Billions,Industry Crossover (Category Defining)
synth.tech,synth,Synthetic Media / Bio,Billions,Industry Crossover (Category Defining)
deep.tech,deep,Deep Technology,Trillions,Industry Crossover (Category Defining)
core.tech,core,Core Infrastructure,Billions,Industry Crossover (Category Defining)
crypto.tech,crypto,Cryptocurrency,Trillions,Industry Crossover (Category Defining)
defi.tech,defi,Decentralized Finance,Billions,Industry Crossover (Category Defining)
block.tech,block,Blockchain,Trillions,Industry Crossover (Category Defining)
chain.tech,chain,Supply Chain / Blockchain,Billions,Industry Crossover (Category Defining)
nft.tech,nft,Non-Fungible Tokens,Billions,Industry Crossover (Category Defining)
dao.tech,dao,Decentralized Orgs,Billions,Industry Crossover (Category Defining)
web3.tech,web3,Web 3.0,Trillions,Industry Crossover (Category Defining)
dev.tech,dev,Developer Tools,Billions,Industry Crossover (Category Defining)
ops.tech,ops,Operations,Billions,Industry Crossover (Category Defining)
sys.tech,sys,Systems Engineering,Billions,Industry Crossover (Category Defining)
net.tech,net,Networking,Billions,Industry Crossover (Category Defining)
telco.tech,telco,Telecommunications,Trillions,Industry Crossover (Category Defining)
comm.tech,comm,Communications,Billions,Industry Crossover (Category Defining)
media.tech,media,Media & Broadcasting,Trillions,Industry Crossover (Category Defining)
stream.tech,stream,Streaming Services,Billions,Industry Crossover (Category Defining)
cast.tech,cast,Broadcasting / Podcasting,Billions,Industry Crossover (Category Defining)
pod.tech,pod,Podcasting,Billions,Industry Crossover (Category Defining)
press.tech,press,Publishing,Billions,Industry Crossover (Category Defining)
news.tech,news,Journalism,Billions,Industry Crossover (Category Defining)
info.tech,info,Information Systems,Billions,Industry Crossover (Category Defining)
doc.tech,doc,Document Management,Billions,Industry Crossover (Category Defining)
file.tech,file,File Storage,Billions,Industry Crossover (Category Defining)
code.tech,code,Coding / Software,Billions,Industry Crossover (Category Defining)
script.tech,script,Scripting / Automation,Billions,Industry Crossover (Category Defining)
api.tech,api,API Integrations,Billions,Industry Crossover (Category Defining)
ux.tech,ux,User Experience,Billions,Industry Crossover (Category Defining)
ui.tech,ui,User Interface,Billions,Industry Crossover (Category Defining)
cx.tech,cx,Customer Experience,Billions,Industry Crossover (Category Defining)
dx.tech,dx,Digital Experience / Transformation,Billions,Industry Crossover (Category Defining)
b2b.tech,b2b,Business to Business,Trillions,Industry Crossover (Category Defining)
b2c.tech,b2c,Business to Consumer,Trillions,Industry Crossover (Category Defining)
d2c.tech,d2c,Direct to Consumer,Billions,Industry Crossover (Category Defining)
p2p.tech,p2p,Peer to Peer,Billions,Industry Crossover (Category Defining)
o2o.tech,o2o,Online to Offline,Billions,Industry Crossover (Category Defining)
saas.tech,saas,Software as a Service,Trillions,Industry Crossover (Category Defining)
paas.tech,paas,Platform as a Service,Billions,Industry Crossover (Category Defining)
iaas.tech,iaas,Infrastructure as a Service,Billions,Industry Crossover (Category Defining)
