ï»¿Domain,Keyword,Category,Market Rationale
soul.tech,soul,Human & Life,"Mental health, wellness apps, creative AI."
heart.tech,heart,Human & Life,"Cardiac monitoring, passion-driven tech."
body.tech,body,Human & Life,"Fitness tech, biometrics, wearables."
face.tech,face,Human & Life,"Facial recognition, beauty tech, UI."
skin.tech,skin,Human & Life,"Dermatology tech, UI 'skins', material science."
eye.tech,eye,Human & Life,"Computer vision, optics, monitoring."
ear.tech,ear,Human & Life,"Audio tech, hearing aids, social listening."
hand.tech,hand,Human & Life,"Haptics, manual tools, accessibility."
breath.tech,breath,Human & Life,"Meditation apps, lung health tech."
sleep.tech,sleep,Human & Life,"Sleep tracking, smart mattresses."
dream.tech,dream,Human & Life,"Creative AI, sleep science, visioning."
age.tech,age,Human & Life,"Elder care tech, longevity research."
youth.tech,youth,Human & Life,"EdTech, gaming, Gen-Z platforms."
born.tech,born,Human & Life,"Incubators, maternal health tech."
food.tech,food,Human & Life,"FoodTech, delivery, nutrition apps."
drink.tech,drink,Human & Life,"Beverage tech, smart bottles."
water.tech,water,Human & Life,"Sustainability, clean water tech."
air.tech,air,Human & Life,"Air quality sensors, aviation tech."
green.tech,green,Human & Life,"Eco-tech, sustainability, clean energy."
city.tech,city,Urban & Space,"Smart city infrastructure, urban planning."
town.tech,town,Urban & Space,"Community tech, local networking."
home.tech,home,Urban & Space,"Smart home, automation, real estate."
house.tech,house,Urban & Space,"Proptech, construction tech."
yard.tech,yard,Urban & Space,"Exterior tech, logistics, construction."
roof.tech,roof,Urban & Space,"Solar tech, roofing automation."
wall.tech,wall,Urban & Space,"Firewalls, digital displays, smart materials."
floor.tech,floor,Urban & Space,"Robotics (vacuum), interior design tech."
park.tech,park,Urban & Space,"Parking tech, leisure apps."
sky.tech,sky,Urban & Space,"Aerospace, cloud computing, satellites."
star.tech,star,Urban & Space,"Space tech, rating systems."
sun.tech,sun,Urban & Space,"Solar energy, bright innovation."
moon.tech,moon,Urban & Space,"Space tech, nocturnal apps."
land.tech,land,Urban & Space,"Mapping, GIS, agriculture tech."
sea.tech,sea,Urban & Space,"Marine tech, ocean sustainability."
ocean.tech,ocean,Urban & Space,"Deep sea tech, global logistics."
earth.tech,earth,Urban & Space,"Sustainability, global platforms."
map.tech,map,Urban & Space,"Navigation, data visualization."
globe.tech,globe,Urban & Space,"International business, networking."
world.tech,world,Urban & Space,"Massive ecosystems, VR/AR."
true.tech,TRUE,Security & Logic,"Fact-checking, verification, authenticity."
fact.tech,fact,Security & Logic,"Data integrity, information systems."
real.tech,real,Security & Logic,"AR/VR, real estate, authenticity."
pure.tech,pure,Security & Logic,"Clean code, clean tech, simplicity."
safe.tech,safe,Security & Logic,"Cybersecurity, physical safety."
lock.tech,lock,Security & Logic,"Encryption, proptech, smart locks."
vault.tech,vault,Security & Logic,"Crypto storage, secure databases."
guard.tech,guard,Security & Logic,"Security AI, surveillance tech."
shield.tech,shield,Security & Logic,"Antivirus, privacy protection."
trust.tech,trust,Security & Logic,"Zero-trust networks, blockchain proof."
proof.tech,proof,Security & Logic,"Mathematical verification, cryptography."
valid.tech,valid,Security & Logic,"Identity tech, data validation."
check.tech,check,Security & Logic,"Quality control, fintech verification."
watch.tech,watch,Security & Logic,"Security monitoring, smartwatches."
spy.tech,spy,Security & Logic,"Pentesting, surveillance tech, competitive intel."
hunt.tech,hunt,Security & Logic,"Bug bounty, recruitment tech."
find.tech,find,Security & Logic,"Search engines, discovery platforms."
seek.tech,seek,Security & Logic,"AI discovery, talent recruitment."
lost.tech,lost,Security & Logic,"Lost-and-found tech, inventory recovery."
keep.tech,keep,Security & Logic,"Data retention, secure storage."
talk.tech,talk,Communication,"Messaging apps, audio platforms."
chat.tech,chat,Communication,"Conversational AI, customer support."
call.tech,call,Communication,"Telephony tech, API calls."
voice.tech,voice,Communication,"Voice AI, smart assistants."
sound.tech,sound,Communication,"Audio tech, music streaming."
echo.tech,echo,Communication,"Acoustics, data replication, smart speakers."
hear.tech,hear,Communication,"Accessibility tech, audio monitoring."
speak.tech,speak,Communication,"Translation tech, language learning."
write.tech,write,Communication,"Generative AI text, collaborative tools."
read.tech,read,Communication,"OCR, edtech, document analysis."
view.tech,view,Communication,"Dashboards, computer vision, display tech."
look.tech,look,Communication,"Search, visual discovery, fashion tech."
show.tech,show,Communication,"Presentations, demo tech, events."
play.tech,play,Communication,"Gaming, music, entertainment tech."
game.tech,game,Communication,"Esports, mobile gaming, gamification."
vibe.tech,vibe,Communication,"Social tech, sentiment analysis, wellness."
feel.tech,feel,Communication,"Haptics, emotional AI."
sense.tech,sense,Communication,"IoT sensors, context-aware AI."
touch.tech,touch,Communication,"Haptic feedback, touchscreens."
press.tech,press,Communication,"Publishing tech, hardware buttons."
gold.tech,gold,Value & Materials,"Fintech, premium services."
silver.tech,silver,Value & Materials,"Second-tier services, tech materials."
metal.tech,metal,Value & Materials,"Hardware, 3D printing (metal), manufacturing."
iron.tech,iron,Value & Materials,"Strong infrastructure, industrial tech."
steel.tech,steel,Value & Materials,"Construction tech, robustness."
wood.tech,wood,Value & Materials,"Eco-friendly tech, interior proptech."
glass.tech,glass,Value & Materials,"Displays, optics, transparency."
stone.tech,stone,Value & Materials,"Solid foundations, secure storage."
rock.tech,rock,Value & Materials,"Reliability, industrial tech."
clay.tech,clay,Value & Materials,"Modeling software, manufacturing."
silk.tech,silk,Value & Materials,"Smooth UX, material science."
oil.tech,oil,Value & Materials,"Energy tech, industrial automation."
gas.tech,gas,Value & Materials,"Energy tech, gas sensors."
fuel.tech,fuel,Value & Materials,"Performance boosting, clean energy."
fire.tech,fire,Value & Materials,"Firewalls, intense processing."
heat.tech,heat,Value & Materials,"Thermal management, energy tech."
cold.tech,cold,Value & Materials,"Cooling tech, crypto cold storage."
ice.tech,ice,Value & Materials,"Data freezing, cooling systems."
wind.tech,wind,Value & Materials,"Clean energy, aerodynamics."
rain.tech,rain,Value & Materials,"Weather tech, agriculture."
time.tech,time,Time & Flow,"Scheduling SaaS, time-tracking tech."
hour.tech,hour,Time & Flow,"Gig economy, booking systems."
day.tech,day,Time & Flow,"Daily planners, routine apps."
week.tech,week,Time & Flow,"Project management, cycles."
year.tech,year,Time & Flow,"Long-term tracking, planning."
now.tech,now,Time & Flow,"Real-time tech, instant delivery."
fast.tech,fast,Time & Flow,"Speed optimization, CDN."
slow.tech,slow,Time & Flow,"Mindful tech, deliberate processing."
quick.tech,quick,Time & Flow,"Rapid dev, agile tools."
swift.tech,swift,Time & Flow,"Rapid transactions, Swift programming."
pace.tech,pace,Time & Flow,"Fitness tracking, workflow speed."
flow.tech,flow,Time & Flow,"Data streams, automation, UX."
drift.tech,drift,Time & Flow,"Autonomous driving, data variance tech."
flux.tech,flux,Time & Flow,"State management, continuous change."
shift.tech,shift,Time & Flow,"Change management, HR tech."
jump.tech,jump,Time & Flow,"Innovation, gaming tech."
leap.tech,leap,Time & Flow,"Future tech, massive improvements."
step.tech,step,Time & Flow,"Tutorials, health tracking."
path.tech,path,Time & Flow,"Algorithms, user journeys."
way.tech,way,Time & Flow,"Methodologies, navigation."
smart.tech,smart,Quality,"AI, IoT, automation."
wise.tech,wise,Quality,"Expert systems, edtech, consulting."
bold.tech,bold,Quality,"Disruptive startups, creative agencies."
brave.tech,brave,Quality,"Privacy browsers, security tech."
keen.tech,keen,Quality,"Analytics, insightful AI."
deep.tech,deep,Quality,"Deep learning, deep sea, profound data."
wide.tech,wide,Quality,"Broadband, expansive platforms."
thin.tech,thin,Quality,"Lightweight hardware, slim UI."
thick.tech,thick,Quality,"Robust code, heavy infrastructure."
large.tech,large,Quality,"Big data, enterprise scale."
small.tech,small,Quality,"Micro-services, compact tech."
tiny.tech,tiny,Quality,"Nanotech, microchips."
mega.tech,mega,Quality,"Massive storage, scale."
giga.tech,giga,Quality,"Networking, speed."
ultra.tech,ultra,Quality,"High-end hardware, extreme tech."
hyper.tech,hyper,Quality,"Automation, networking, speed."
super.tech,super,Quality,"High performance, AI."
pro.tech,pro,Quality,"Professional SaaS, B2B."
max.tech,max,Quality,"Optimization, capacity."
pure.tech,pure,Quality,"Clean tech, simple UX."
bid.tech,bid,Market & Value,"Auctions, ad-tech, programmatic buying."
ask.tech,ask,Market & Value,"Q&A AI, market pricing platforms."
deal.tech,deal,Market & Value,"B2B negotiations, e-commerce tech."
sale.tech,sale,Market & Value,"POS systems, retail tech."
fee.tech,fee,Market & Value,"Payment processing, fintech transparency."
fund.tech,fund,Market & Value,"VC platforms, crowdfunding."
rich.tech,rich,Market & Value,"Wealth tech, premium experiences."
poor.tech,poor,Market & Value,"Non-profit tech, accessibility platforms."
save.tech,save,Market & Value,"Savings apps, data preservation."
gain.tech,gain,Market & Value,"Investment tech, performance analytics."
math.tech,math,Core Science,"Algorithmic computation, ed-tech."
grid.tech,grid,Core Science,"Energy tech, complex computing architectures."
axis.tech,axis,Core Science,"Data visualization, 3D printing."
line.tech,line,Core Science,"Logistics, continuous integration, UX."
dot.tech,dot,Core Science,"Micro-services, precision mapping."
dash.tech,dash,Core Science,"Speed, dashboards, UI elements."
hash.tech,hash,Core Science,"Cryptography, blockchain indexing."
code.tech,code,Core Science,"Coding platforms, IDEs, software."
loop.tech,loop,Core Science,"Automation, robotics, algorithmic iteration."
node.tech,node,Core Science,"Blockchain validators, networking."
